Country,Continents,Type of Coffee,Year,Average of unit_price(/kg),Scale,Conversions_Numeric,converted_price(/kg)
Angola,Africa,Arabica,2012,60,Units,95.46795542,0.63
Angola,Africa,Arabica,2013,60,Units,96.51827948,0.62
Angola,Africa,Arabica,2014,59.16666667,Units,98.30241686,0.60
Angola,Africa,Arabica,2015,60,Units,120.0607017,0.50
Angola,Africa,Arabica,2016,181.6666667,Units,163.6564341,1.11
Angola,Africa,Arabica,2017,291.6666667,Units,165.9159507,1.76
Angola,Africa,Arabica,2018,300,Units,252.8557477,1.19
Angola,Africa,Robusta,1973,8.1,Units,,
Angola,Africa,Robusta,1974,9.625,Units,,
Angola,Africa,Robusta,1975,6.125,Units,,
Angola,Africa,Robusta,1976,7.25,Units,,
Angola,Africa,Robusta,1977,9.5,Units,,
Angola,Africa,Robusta,1978,9.5,Units,,
Angola,Africa,Robusta,1979,16,Units,,
Angola,Africa,Robusta,1980,16,Units,,
Angola,Africa,Robusta,1981,16,Units,,
Angola,Africa,Robusta,1982,24.16666667,Units,,
Angola,Africa,Robusta,1983,30,Units,,
Angola,Africa,Robusta,1984,30.5,Units,,
Angola,Africa,Robusta,1985,30.5,Units,,
Angola,Africa,Robusta,1986,30.5,Units,,
Angola,Africa,Robusta,1987,30.5,Units,,
Angola,Africa,Robusta,1988,30.5,Units,,
Angola,Africa,Robusta,1989,35.3075,Units,,
Angola,Africa,Robusta,1990,55,Units,,
Angola,Africa,Robusta,1991,63.08333333,Units,,
Angola,Africa,Robusta,1992,218.1616667,Units,,
Angola,Africa,Robusta,1993,413,Units,,
Angola,Africa,Robusta,1994,53000,Units,,
Angola,Africa,Robusta,1995,875925,Units,,
Angola,Africa,Robusta,1996,43940,Units,,
Angola,Africa,Robusta,1997,104186.75,Units,,
Angola,Africa,Robusta,1998,196018.6167,Units,,
Angola,Africa,Robusta,1999,1403226,Units,,
Angola,Africa,Robusta,2000,5,Units,10.04054417,0.50
Angola,Africa,Robusta,2001,5,Units,22.05786167,0.23
Angola,Africa,Robusta,2002,5,Units,43.53020667,0.11
Angola,Africa,Robusta,2003,5.416666667,Units,74.60630083,0.07
Angola,Africa,Robusta,2004,9.166666667,Units,83.5413625,0.11
Angola,Africa,Robusta,2005,10,Units,87.15914167,0.11
Angola,Africa,Robusta,2006,11.5,Units,80.36807206,0.14
Angola,Africa,Robusta,2007,30.25,Units,76.70614275,0.39
Angola,Africa,Robusta,2008,35,Units,75.03335417,0.47
Angola,Africa,Robusta,2009,35,Units,79.32816667,0.44
Angola,Africa,Robusta,2010,45,Units,91.90572034,0.49
Angola,Africa,Robusta,2011,50,Units,93.93475,0.53
Angola,Africa,Robusta,2012,50,Units,95.46795542,0.52
Angola,Africa,Robusta,2013,50,Units,96.51827948,0.52
Angola,Africa,Robusta,2014,50,Units,98.30241686,0.51
Angola,Africa,Robusta,2015,50,Units,120.0607017,0.42
Angola,Africa,Robusta,2016,141.6666667,Units,163.6564341,0.87
Angola,Africa,Robusta,2017,241.6666667,Units,165.9159507,1.46
Angola,Africa,Robusta,2018,250,Units,252.8557477,0.99
Benin,Africa,Robusta,1973,98,Units,222.8891831,0.44
Benin,Africa,Robusta,1974,99.25,Units,240.7046676,0.41
Benin,Africa,Robusta,1975,104.75,Units,214.3129003,0.49
Benin,Africa,Robusta,1976,111.25,Units,238.9504943,0.47
Benin,Africa,Robusta,1977,120,Units,245.6796866,0.49
Benin,Africa,Robusta,1978,135,Units,225.6558602,0.60
Benin,Africa,Robusta,1979,141.25,Units,212.7216443,0.66
Benin,Africa,Robusta,1980,170,Units,211.2795554,0.80
Benin,Africa,Robusta,1981,202.5,Units,271.7314526,0.75
Benin,Africa,Robusta,1982,211.25,Units,328.6062527,0.64
Benin,Africa,Robusta,1983,220,Units,381.066036,0.58
Benin,Africa,Robusta,1984,235,Units,436.9566658,0.54
Benin,Africa,Robusta,1985,246.25,Units,449.2629627,0.55
Benin,Africa,Robusta,1986,292.5,Units,346.3059036,0.84
Benin,Africa,Robusta,1987,330,Units,300.5365624,1.10
Benin,Africa,Robusta,1988,330,Units,297.8482188,1.11
Benin,Africa,Robusta,1989,330,Units,319.0082995,1.03
