,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Paid to Growers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in Current Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(National Currency),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Africa,(AOA/kg : D),Robusta,"383,075.00","383,075.00","383,075.00","348,250.00","507,489.00","1,060,285.50","1,260,564.00","1,626,407.50","2,678,474.50","2,766,660.00","2,686,886.50","2,754,470.00",5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Burundi,Africa,(BIF/kg : P),Arabica,435.00,435.00,435.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,475.00,475.00,475.00,475.00,475.00,475.00,475.00,475.00,475.00
Cameroon,Africa,(XAF/kg : G),Arabica,"1,420.00","1,420.00","1,420.00","1,420.00","1,420.00","1,420.00","1,420.00","1,420.00","1,420.00",510.00,510.00,510.00,510.00,510.00,510.00,510.00,510.00,510.00,510.00,510.00,510.00,,,,,,,,,,,,,300.00,300.00,325.00,325.00,340.00,340.00,340.00,375.00,375.00,375.00,375.00,375.00,425.00,425.00,425.00
Cameroon,Africa,(XAF/kg : G),Robusta,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,155.00,170.00,170.00,185.00,210.00,225.00,255.00,255.00,260.00,285.00,265.00,250.00,250.00,250.00,250.00
Central African Republic,Africa,(XAF/kg : G),Robusta,442.00,442.00,442.00,442.00,382.00,382.00,382.00,382.00,382.00,382.00,382.00,382.00,325.00,325.00,325.00,325.00,265.00,265.00,265.00,265.00,265.00,265.00,265.00,265.00,265.00,265.00,215.00,215.00,215.00,197.50,197.50,197.50,197.50,197.50,197.50,197.50,197.50,138.50,138.50,165.00,165.00,171.00,171.00,171.00,171.00,231.00,231.00,231.00
Côte d'Ivoire,Africa,(XAF/kg : G),Robusta,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,539.50,518.00,413.00,393.00,377.00,391.00,344.00,349.00,334.50,344.00,324.00,280.00,,,,,,,,,,,,,,248.25,220.75,206.25,210.92,203.25,198.25,206.25,200.00,0.00,0.00,0.00,0.00
Democratic Republic of Congo,Africa,(NCF/kg : P),Robusta,,,,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00
Ethiopia,Africa,(ETB/17kg : G),Arabica,239.94,213.65,192.94,171.67,171.56,197.50,183.70,192.82,150.22,217.26,223.41,250.66,209.63,174.03,170.37,165.98,181.51,171.02,190.83,174.32,166.53,167.67,157.26,155.22,158.89,154.00,139.55,147.49,152.75,154.27,145.04,137.78,130.23,124.78,118.60,100.27,92.10,81.76,85.48,85.18,85.16,81.68,74.25,73.37,71.98,84.84,107.45,112.49
