,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Africa,(AOA/kg : D),Robusta,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,10.00,5.00,5.00,5.00,5.00,5.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,16.00,16.00,16.00
Burundi,Africa,(BIF/kg : P),Arabica,475.00,475.00,475.00,475.00,475.00,475.00,475.00,475.00,475.00,475.00,475.00,475.00,475.00,475.00,475.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,"1,237.00","1,237.00","1,237.00","1,237.00","1,237.00","1,237.00","1,237.00","1,237.00","1,237.00"
Cameroon,Africa,(XAF/kg : G),Arabica,425.00,500.00,500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Africa,(XAF/kg : G),Robusta,300.00,300.00,300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,Africa,(XAF/kg : G),Robusta,231.00,231.00,231.00,231.00,231.00,231.00,231.00,231.00,231.00,231.00,231.00,231.00,231.00,231.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,Africa,(XAF/kg : G),Robusta,282.00,278.00,264.00,253.00,232.00,221.00,200.00,200.00,200.00,200.00,200.00,200.00,0.00,203.00,205.00,213.00,217.00,208.00,207.00,207.00,207.00,207.00,207.00,0.00,0.00,196.00,251.00,240.00,303.00,333.00,218.00,0.00,0.00,0.00,0.00,0.00,395.00,421.00,425.00,429.00,504.00,350.00,447.00,462.00,467.00,0.00,0.00,0.00
Democratic Republic of Congo,Africa,(NCF/kg : P),Robusta,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,Africa,(ETB/17kg : G),Arabica,99.86,105.67,105.42,98.78,108.99,108.49,116.40,117.09,115.07,115.59,126.60,119.13,136.74,137.23,145.96,148.58,152.49,159.12,152.35,147.05,146.91,153.15,195.21,222.64,226.41,246.59,238.46,243.60,217.21,213.87,187.84,197.39,188.63,164.47,187.27,191.38,218.64,197.10,192.90,184.86,178.38,169.85,162.13,162.07,161.67,160.40,216.99,276.93
