,Country,Continents,Unit,Country_Code,Weight,Type,Type of Coffee,Price,unit_price(/kg),Datetime,Year,Month,Scale,Conversions_Numeric
0,Burundi,Africa,kg,BIF,1,P,Arabica,20.0,20.0,1963-01-01,1963,1,Units,50.00000004899999
1,Burundi,Africa,kg,BIF,1,P,Arabica,20.0,20.0,1963-02-01,1963,2,Units,50.00000004899999
2,Burundi,Africa,kg,BIF,1,P,Arabica,20.0,20.0,1963-03-01,1963,3,Units,50.00000004899999
3,Burundi,Africa,kg,BIF,1,P,Arabica,20.5,20.5,1963-04-01,1963,4,Units,50.00000004899999
4,Burundi,Africa,kg,BIF,1,P,Arabica,20.5,20.5,1963-05-01,1963,5,Units,50.00000004899999
5,Burundi,Africa,kg,BIF,1,P,Arabica,20.5,20.5,1963-06-01,1963,6,Units,50.00000004899999
6,Burundi,Africa,kg,BIF,1,P,Arabica,20.5,20.5,1963-07-01,1963,7,Units,50.00000004899999
7,Burundi,Africa,kg,BIF,1,P,Arabica,20.5,20.5,1963-08-01,1963,8,Units,50.00000004899999
8,Burundi,Africa,kg,BIF,1,P,Arabica,20.5,20.5,1963-09-01,1963,9,Units,50.00000004899999
9,Burundi,Africa,kg,BIF,1,P,Arabica,20.5,20.5,1963-10-01,1963,10,Units,50.00000004899999
10,Burundi,Africa,kg,BIF,1,P,Arabica,20.5,20.5,1963-11-01,1963,11,Units,50.00000004899999
11,Burundi,Africa,kg,BIF,1,P,Arabica,20.5,20.5,1963-12-01,1963,12,Units,50.00000004899999
12,Cameroon,Africa,kg,XAF,1,G,Robusta,90.3,90.3,1963-01-01,1963,1,Units,245.016350696075
13,Cameroon,Africa,kg,XAF,1,G,Robusta,90.3,90.3,1963-02-01,1963,2,Units,245.016350696075
14,Cameroon,Africa,kg,XAF,1,G,Robusta,90.3,90.3,1963-03-01,1963,3,Units,245.016350696075
15,Cameroon,Africa,kg,XAF,1,G,Robusta,90.3,90.3,1963-04-01,1963,4,Units,245.016350696075
16,Cameroon,Africa,kg,XAF,1,G,Robusta,90.3,90.3,1963-05-01,1963,5,Units,245.016350696075
17,Cameroon,Africa,kg,XAF,1,G,Robusta,90.3,90.3,1963-06-01,1963,6,Units,245.016350696075
18,Cameroon,Africa,kg,XAF,1,G,Robusta,90.3,90.3,1963-07-01,1963,7,Units,245.016350696075
19,Cameroon,Africa,kg,XAF,1,G,Robusta,90.3,90.3,1963-08-01,1963,8,Units,245.016350696075
20,Cameroon,Africa,kg,XAF,1,G,Robusta,90.3,90.3,1963-09-01,1963,9,Units,245.016350696075
21,Cameroon,Africa,kg,XAF,1,G,Robusta,102.0,102.0,1963-10-01,1963,10,Units,245.016350696075
22,Cameroon,Africa,kg,XAF,1,G,Robusta,102.0,102.0,1963-11-01,1963,11,Units,245.016350696075
23,Cameroon,Africa,kg,XAF,1,G,Robusta,102.0,102.0,1963-12-01,1963,12,Units,245.016350696075
24,Côte d'Ivoire,Africa,kg,XAF,1,G,Robusta,80.0,80.0,1963-01-01,1963,1,Units,245.016350696075
