,Unnamed: 0,Unnamed: 0.1,Country,Region,Unit,Country_Code,Weight,Date,Price,unit_price(/kg)
0,2665,2665,Cyprus,Europe,kg,CYP,1.0,Oct-1963,0.65,0.65
1,2668,2668,Italy,Europe,kg,ITL,1.0,Oct-1963,2051.0,2051.0
2,2670,2670,Norway,Europe,kg,NOK,1.0,Oct-1963,12.0,12.0
3,2671,2671,Sweden,Europe,kg,SEK,1.0,Oct-1963,8.45,8.45
4,2961,2961,Cyprus,Europe,kg,CYP,1.0,Nov-1963,0.65,0.65
5,2964,2964,Italy,Europe,kg,ITL,1.0,Nov-1963,2054.0,2054.0
6,2966,2966,Norway,Europe,kg,NOK,1.0,Nov-1963,12.0,12.0
7,2967,2967,Sweden,Europe,kg,SEK,1.0,Nov-1963,8.38,8.38
8,3257,3257,Cyprus,Europe,kg,CYP,1.0,Dec-1963,0.65,0.65
9,3260,3260,Italy,Europe,kg,ITL,1.0,Dec-1963,2062.0,2062.0
10,3262,3262,Norway,Europe,kg,NOK,1.0,Dec-1963,12.47,12.47
11,3263,3263,Sweden,Europe,kg,SEK,1.0,Dec-1963,8.9,8.9
12,3553,3553,Cyprus,Europe,kg,CYP,1.0,Jan-1964,0.65,0.65
13,3556,3556,Italy,Europe,kg,ITL,1.0,Jan-1964,2083.0,2083.0
14,3558,3558,Norway,Europe,kg,NOK,1.0,Jan-1964,12.57,12.57
15,3559,3559,Sweden,Europe,kg,SEK,1.0,Jan-1964,8.71,8.71
16,3560,3560,Switzerland,Europe,kg,CHF,1.0,Jan-1964,11.4,11.4
17,3849,3849,Cyprus,Europe,kg,CYP,1.0,Feb-1964,0.65,0.65
18,3852,3852,Italy,Europe,kg,ITL,1.0,Feb-1964,2109.0,2109.0
19,3854,3854,Norway,Europe,kg,NOK,1.0,Feb-1964,14.12,14.12
20,3855,3855,Sweden,Europe,kg,SEK,1.0,Feb-1964,8.71,8.71
21,3856,3856,Switzerland,Europe,kg,CHF,1.0,Feb-1964,11.48,11.48
22,4145,4145,Cyprus,Europe,kg,CYP,1.0,Mar-1964,0.68,0.68
23,4148,4148,Italy,Europe,kg,ITL,1.0,Mar-1964,2118.0,2118.0
24,4150,4150,Norway,Europe,kg,NOK,1.0,Mar-1964,14.18,14.18
25,4151,4151,Sweden,Europe,kg,SEK,1.0,Mar-1964,10.0,10.0
26,4152,4152,Switzerland,Europe,kg,CHF,1.0,Mar-1964,11.45,11.45
27,4441,4441,Cyprus,Europe,kg,CYP,1.0,Apr-1964,0.68,0.68
28,4444,4444,Italy,Europe,kg,ITL,1.0,Apr-1964,2138.0,2138.0
29,4446,4446,Norway,Europe,kg,NOK,1.0,Apr-1964,15.61,15.61
30,4447,4447,Sweden,Europe,kg,SEK,1.0,Apr-1964,10.03,10.03
31,4448,4448,Switzerland,Europe,kg,CHF,1.0,Apr-1964,11.45,11.45
32,4737,4737,Cyprus,Europe,kg,CYP,1.0,May-1964,0.69,0.69
33,4740,4740,Italy,Europe,kg,ITL,1.0,May-1964,2153.0,2153.0
34,4742,4742,Norway,Europe,kg,NOK,1.0,May-1964,15.78,15.78
35,4743,4743,Sweden,Europe,kg,SEK,1.0,May-1964,10.03,10.03
36,4744,4744,Switzerland,Europe,kg,CHF,1.0,May-1964,11.43,11.43
37,5033,5033,Cyprus,Europe,kg,CYP,1.0,Jun-1964,0.69,0.69
38,5036,5036,Italy,Europe,kg,ITL,1.0,Jun-1964,2157.0,2157.0
