,Unnamed: 0,Country,Region,Unit,Country_Code,Weight,Date,Price,unit_price(/kg)
2665,2665,Cyprus,Europe,kg,CYP,1.0,Oct-63,0.65,0.65
2668,2668,Italy,Europe,kg,ITL,1.0,Oct-63,2051.0,2051.0
2670,2670,Norway,Europe,kg,NOK,1.0,Oct-63,12.0,12.0
2671,2671,Sweden,Europe,kg,SEK,1.0,Oct-63,8.45,8.45
2961,2961,Cyprus,Europe,kg,CYP,1.0,Nov-63,0.65,0.65
2964,2964,Italy,Europe,kg,ITL,1.0,Nov-63,2054.0,2054.0
2966,2966,Norway,Europe,kg,NOK,1.0,Nov-63,12.0,12.0
2967,2967,Sweden,Europe,kg,SEK,1.0,Nov-63,8.38,8.38
3257,3257,Cyprus,Europe,kg,CYP,1.0,Dec-63,0.65,0.65
3260,3260,Italy,Europe,kg,ITL,1.0,Dec-63,2062.0,2062.0
3262,3262,Norway,Europe,kg,NOK,1.0,Dec-63,12.47,12.47
3263,3263,Sweden,Europe,kg,SEK,1.0,Dec-63,8.9,8.9
3553,3553,Cyprus,Europe,kg,CYP,1.0,Jan-64,0.65,0.65
3556,3556,Italy,Europe,kg,ITL,1.0,Jan-64,2083.0,2083.0
3558,3558,Norway,Europe,kg,NOK,1.0,Jan-64,12.57,12.57
3559,3559,Sweden,Europe,kg,SEK,1.0,Jan-64,8.71,8.71
3560,3560,Switzerland,Europe,kg,CHF,1.0,Jan-64,11.4,11.4
3849,3849,Cyprus,Europe,kg,CYP,1.0,Feb-64,0.65,0.65
3852,3852,Italy,Europe,kg,ITL,1.0,Feb-64,2109.0,2109.0
3854,3854,Norway,Europe,kg,NOK,1.0,Feb-64,14.12,14.12
3855,3855,Sweden,Europe,kg,SEK,1.0,Feb-64,8.71,8.71
3856,3856,Switzerland,Europe,kg,CHF,1.0,Feb-64,11.48,11.48
4145,4145,Cyprus,Europe,kg,CYP,1.0,Mar-64,0.68,0.68
4148,4148,Italy,Europe,kg,ITL,1.0,Mar-64,2118.0,2118.0
4150,4150,Norway,Europe,kg,NOK,1.0,Mar-64,14.18,14.18
4151,4151,Sweden,Europe,kg,SEK,1.0,Mar-64,10.0,10.0
4152,4152,Switzerland,Europe,kg,CHF,1.0,Mar-64,11.45,11.45
4441,4441,Cyprus,Europe,kg,CYP,1.0,Apr-64,0.68,0.68
4444,4444,Italy,Europe,kg,ITL,1.0,Apr-64,2138.0,2138.0
4446,4446,Norway,Europe,kg,NOK,1.0,Apr-64,15.61,15.61
4447,4447,Sweden,Europe,kg,SEK,1.0,Apr-64,10.03,10.03
4448,4448,Switzerland,Europe,kg,CHF,1.0,Apr-64,11.45,11.45
4737,4737,Cyprus,Europe,kg,CYP,1.0,May-64,0.69,0.69
4740,4740,Italy,Europe,kg,ITL,1.0,May-64,2153.0,2153.0
4742,4742,Norway,Europe,kg,NOK,1.0,May-64,15.78,15.78
4743,4743,Sweden,Europe,kg,SEK,1.0,May-64,10.03,10.03
4744,4744,Switzerland,Europe,kg,CHF,1.0,May-64,11.43,11.43
5033,5033,Cyprus,Europe,kg,CYP,1.0,Jun-64,0.69,0.69
5036,5036,Italy,Europe,kg,ITL,1.0,Jun-64,2157.0,2157.0
5038,5038,Norway,Europe,kg,NOK,1.0,Jun-64,15.78,15.78
5039,5039,Sweden,Europe,kg,SEK,1.0,Jun-64,10.07,10.07
5040,5040,Switzerland,Europe,kg,CHF,1.0,Jun-64,11.51,11.51
5329,5329,Cyprus,Europe,kg,CYP,1.0,Jul-64,0.69,0.69
5332,5332,Italy,Europe,kg,ITL,1.0,Jul-64,2155.0,2155.0
5334,5334,Norway,Europe,kg,NOK,1.0,Jul-64,15.78,15.78
5335,5335,Sweden,Europe,kg,SEK,1.0,Jul-64,10.07,10.07
5336,5336,Switzerland,Europe,kg,CHF,1.0,Jul-64,11.5,11.5
5625,5625,Cyprus,Europe,kg,CYP,1.0,Aug-64,0.69,0.69
5628,5628,Italy,Europe,kg,ITL,1.0,Aug-64,2157.0,2157.0
5630,5630,Norway,Europe,kg,NOK,1.0,Aug-64,15.79,15.79
5631,5631,Sweden,Europe,kg,SEK,1.0,Aug-64,10.1,10.1
5632,5632,Switzerland,Europe,kg,CHF,1.0,Aug-64,11.54,11.54
5921,5921,Cyprus,Europe,kg,CYP,1.0,Sep-64,0.69,0.69
5924,5924,Italy,Europe,kg,ITL,1.0,Sep-64,2162.0,2162.0
5926,5926,Norway,Europe,kg,NOK,1.0,Sep-64,15.79,15.79
5927,5927,Sweden,Europe,kg,SEK,1.0,Sep-64,10.07,10.07
5928,5928,Switzerland,Europe,kg,CHF,1.0,Sep-64,11.52,11.52
6216,6216,Austria,Europe,kg,AUS,1.0,Oct-64,85.0,85.0
6217,6217,Cyprus,Europe,kg,CYP,1.0,Oct-64,0.7,0.7
6218,6218,Denmark,Europe,kg,DKK,1.0,Oct-64,21.91,21.91
6219,6219,France,Europe,kg,FRF,1.0,Oct-64,10.04,10.04
6220,6220,Italy,Europe,kg,ITL,1.0,Oct-64,2171.0,2171.0
6221,6221,Netherlands,Europe,kg,NFL,1.0,Oct-64,7.76,7.76
6222,6222,Norway,Europe,kg,NOK,1.0,Oct-64,15.8,15.8
6223,6223,Sweden,Europe,kg,SEK,1.0,Oct-64,10.07,10.07
6224,6224,Switzerland,Europe,kg,CHF,1.0,Oct-64,11.54,11.54
6225,6225,United States of America,North America,lb,USD,1.0,Oct-64,0.846,1.88
6512,6512,Austria,Europe,kg,AUS,1.0,Nov-64,85.0,85.0
6513,6513,Cyprus,Europe,kg,CYP,1.0,Nov-64,0.7,0.7
6514,6514,Denmark,Europe,kg,DKK,1.0,Nov-64,21.91,21.91
6515,6515,France,Europe,kg,FRF,1.0,Nov-64,10.04,10.04
6516,6516,Italy,Europe,kg,ITL,1.0,Nov-64,2173.0,2173.0
6517,6517,Netherlands,Europe,kg,NFL,1.0,Nov-64,7.76,7.76
6518,6518,Norway,Europe,kg,NOK,1.0,Nov-64,15.8,15.8
6519,6519,Sweden,Europe,kg,SEK,1.0,Nov-64,10.07,10.07
6520,6520,Switzerland,Europe,kg,CHF,1.0,Nov-64,11.49,11.49
6521,6521,United States of America,North America,lb,USD,1.0,Nov-64,0.8490000000000001,1.89
6808,6808,Austria,Europe,kg,AUS,1.0,Dec-64,85.0,85.0
6809,6809,Cyprus,Europe,kg,CYP,1.0,Dec-64,0.7,0.7
6810,6810,Denmark,Europe,kg,DKK,1.0,Dec-64,21.91,21.91
6811,6811,France,Europe,kg,FRF,1.0,Dec-64,10.02,10.02
6812,6812,Italy,Europe,kg,ITL,1.0,Dec-64,2175.0,2175.0
6813,6813,Netherlands,Europe,kg,NFL,1.0,Dec-64,7.76,7.76
6814,6814,Norway,Europe,kg,NOK,1.0,Dec-64,16.17,16.17
6815,6815,Sweden,Europe,kg,SEK,1.0,Dec-64,10.07,10.07
6816,6816,Switzerland,Europe,kg,CHF,1.0,Dec-64,11.49,11.49
6817,6817,United States of America,North America,lb,USD,1.0,Dec-64,0.848,1.88
7104,7104,Austria,Europe,kg,AUS,1.0,Jan-65,85.0,85.0
7105,7105,Cyprus,Europe,kg,CYP,1.0,Jan-65,0.7,0.7
7106,7106,Denmark,Europe,kg,DKK,1.0,Jan-65,21.92,21.92
7107,7107,France,Europe,kg,FRF,1.0,Jan-65,10.04,10.04
7108,7108,Italy,Europe,kg,ITL,1.0,Jan-65,2178.0,2178.0
7109,7109,Netherlands,Europe,kg,NFL,1.0,Jan-65,7.28,7.28
7110,7110,Norway,Europe,kg,NOK,1.0,Jan-65,16.18,16.18
7111,7111,Sweden,Europe,kg,SEK,1.0,Jan-65,10.07,10.07
7112,7112,Switzerland,Europe,kg,CHF,1.0,Jan-65,11.63,11.63
7113,7113,United States of America,North America,lb,USD,1.0,Jan-65,0.845,1.88
