,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-63,Feb-63,Mar-63,Apr-63,May-63,Jun-63,Jul-63,Aug-63,Sep-63,Oct-63,Nov-63,Dec-63,Jan-64,Feb-64,Mar-64,Apr-64,May-64,Jun-64,Jul-64,Aug-64,Sep-64,Oct-64,Nov-64,Dec-64,Jan-65,Feb-65,Mar-65,Apr-65,May-65,Jun-65,Jul-65,Aug-65,Sep-65,Oct-65,Nov-65,Dec-65,Jan-66,Feb-66,Mar-66,Apr-66,May-66,Jun-66,Jul-66,Aug-66,Sep-66,Oct-66,Nov-66,Dec-66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,Africa,(BIF/kg : P),Arabica,20.00,20.00,20.00,20.50,20.50,20.50,20.50,20.50,20.50,20.50,20.50,20.50,20.50,20.50,20.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00
Cameroon,Africa,(XAF/kg : G),Robusta,90.30,90.30,90.30,90.30,90.30,90.30,90.30,90.30,90.30,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,102.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,115.00,115.00,115.00
Côte d'Ivoire,Africa,(XAF/kg : G),Robusta,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,90.00,90.00,90.00
Ethiopia,Africa,(ETB/17kg : G),Arabica,,,,,,,,,,,,,,,,,,,,,,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.70,23.70,23.70,23.70,23.70,23.70,23.70,23.70,23.70,23.70,23.70,23.70,20.98,20.98,20.98
Gabon,Africa,(XAF/kg : D),Robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50.00,50.00
Kenya,Africa,(KES/50kg : G),Arabica,274.00,274.00,274.00,274.00,274.00,274.00,274.00,274.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,330.00,313.00,313.00,313.00,313.00,313.00,313.00,313.00,313.00,313.00,313.00,313.00,313.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,261.00,261.00,261.00,261.00
Madagascar,Africa,(MGF/kg : G),Robusta,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Togo,Africa,(XAF/kg : G),Robusta,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00
