,Country,Region,Unit,Country_Code,Weight,Price,unit_price(/kg),Datetime,Year,Month,Unnamed: 0,Scale,Conversions_Numeric
0,Cyprus,Europe,kg,CYP,1.0,0.65,0.65,1963-10-01,1963,10,52,Units,0.3571429993571429
1,Cyprus,Europe,kg,CYP,1.0,0.65,0.65,1963-11-01,1963,11,52,Units,0.3571429993571429
2,Cyprus,Europe,kg,CYP,1.0,0.65,0.65,1963-12-01,1963,12,52,Units,0.3571429993571429
3,Italy,Europe,kg,ITL,1.0,2051.0,2051.0,1963-10-01,1963,10,101,Units,625.000000625
4,Italy,Europe,kg,ITL,1.0,2054.0,2054.0,1963-11-01,1963,11,101,Units,625.000000625
5,Italy,Europe,kg,ITL,1.0,2062.0,2062.0,1963-12-01,1963,12,101,Units,625.000000625
6,Norway,Europe,kg,NOK,1.0,12.0,12.0,1963-10-01,1963,10,150,Units,7.14286000614286
7,Norway,Europe,kg,NOK,1.0,12.0,12.0,1963-11-01,1963,11,150,Units,7.14286000614286
8,Norway,Europe,kg,NOK,1.0,12.47,12.47,1963-12-01,1963,12,150,Units,7.14286000614286
9,Sweden,Europe,kg,SEK,1.0,8.45,8.45,1963-10-01,1963,10,190,Units,5.173210004173209
10,Sweden,Europe,kg,SEK,1.0,8.38,8.38,1963-11-01,1963,11,190,Units,5.173210004173209
11,Sweden,Europe,kg,SEK,1.0,8.9,8.9,1963-12-01,1963,12,190,Units,5.173210004173209
12,Cyprus,Europe,kg,CYP,1.0,0.65,0.65,1964-01-01,1964,1,276,Units,0.3571429993571429
13,Cyprus,Europe,kg,CYP,1.0,0.65,0.65,1964-02-01,1964,2,276,Units,0.3571429993571429
14,Cyprus,Europe,kg,CYP,1.0,0.68,0.68,1964-03-01,1964,3,276,Units,0.3571429993571429
15,Cyprus,Europe,kg,CYP,1.0,0.68,0.68,1964-04-01,1964,4,276,Units,0.3571429993571429
16,Cyprus,Europe,kg,CYP,1.0,0.69,0.69,1964-05-01,1964,5,276,Units,0.3571429993571429
17,Cyprus,Europe,kg,CYP,1.0,0.69,0.69,1964-06-01,1964,6,276,Units,0.3571429993571429
18,Cyprus,Europe,kg,CYP,1.0,0.69,0.69,1964-07-01,1964,7,276,Units,0.3571429993571429
19,Cyprus,Europe,kg,CYP,1.0,0.69,0.69,1964-08-01,1964,8,276,Units,0.3571429993571429
20,Cyprus,Europe,kg,CYP,1.0,0.69,0.69,1964-09-01,1964,9,276,Units,0.3571429993571429
21,Cyprus,Europe,kg,CYP,1.0,0.7,0.7,1964-10-01,1964,10,276,Units,0.3571429993571429
22,Cyprus,Europe,kg,CYP,1.0,0.7,0.7,1964-11-01,1964,11,276,Units,0.3571429993571429
23,Cyprus,Europe,kg,CYP,1.0,0.7,0.7,1964-12-01,1964,12,276,Units,0.3571429993571429
24,Italy,Europe,kg,ITL,1.0,2083.0,2083.0,1964-01-01,1964,1,325,Units,625.000000625
25,Italy,Europe,kg,ITL,1.0,2109.0,2109.0,1964-02-01,1964,2,325,Units,625.000000625
26,Italy,Europe,kg,ITL,1.0,2118.0,2118.0,1964-03-01,1964,3,325,Units,625.000000625
27,Italy,Europe,kg,ITL,1.0,2138.0,2138.0,1964-04-01,1964,4,325,Units,625.000000625
28,Italy,Europe,kg,ITL,1.0,2153.0,2153.0,1964-05-01,1964,5,325,Units,625.000000625
29,Italy,Europe,kg,ITL,1.0,2157.0,2157.0,1964-06-01,1964,6,325,Units,625.000000625
30,Italy,Europe,kg,ITL,1.0,2155.0,2155.0,1964-07-01,1964,7,325,Units,625.000000625
31,Italy,Europe,kg,ITL,1.0,2157.0,2157.0,1964-08-01,1964,8,325,Units,625.000000625
32,Italy,Europe,kg,ITL,1.0,2162.0,2162.0,1964-09-01,1964,9,325,Units,625.000000625
33,Italy,Europe,kg,ITL,1.0,2171.0,2171.0,1964-10-01,1964,10,325,Units,625.000000625
34,Italy,Europe,kg,ITL,1.0,2173.0,2173.0,1964-11-01,1964,11,325,Units,625.000000625
35,Italy,Europe,kg,ITL,1.0,2175.0,2175.0,1964-12-01,1964,12,325,Units,625.000000625
36,Norway,Europe,kg,NOK,1.0,12.57,12.57,1964-01-01,1964,1,374,Units,7.14286000614286
37,Norway,Europe,kg,NOK,1.0,14.12,14.12,1964-02-01,1964,2,374,Units,7.14286000614286
38,Norway,Europe,kg,NOK,1.0,14.18,14.18,1964-03-01,1964,3,374,Units,7.14286000614286
39,Norway,Europe,kg,NOK,1.0,15.61,15.61,1964-04-01,1964,4,374,Units,7.14286000614286
40,Norway,Europe,kg,NOK,1.0,15.78,15.78,1964-05-01,1964,5,374,Units,7.14286000614286
41,Norway,Europe,kg,NOK,1.0,15.78,15.78,1964-06-01,1964,6,374,Units,7.14286000614286
42,Norway,Europe,kg,NOK,1.0,15.78,15.78,1964-07-01,1964,7,374,Units,7.14286000614286
43,Norway,Europe,kg,NOK,1.0,15.79,15.79,1964-08-01,1964,8,374,Units,7.14286000614286
44,Norway,Europe,kg,NOK,1.0,15.79,15.79,1964-09-01,1964,9,374,Units,7.14286000614286
45,Norway,Europe,kg,NOK,1.0,15.8,15.8,1964-10-01,1964,10,374,Units,7.14286000614286
46,Norway,Europe,kg,NOK,1.0,15.8,15.8,1964-11-01,1964,11,374,Units,7.14286000614286
47,Norway,Europe,kg,NOK,1.0,16.17,16.17,1964-12-01,1964,12,374,Units,7.14286000614286
48,Sweden,Europe,kg,SEK,1.0,8.71,8.71,1964-01-01,1964,1,414,Units,5.173210004173209
49,Sweden,Europe,kg,SEK,1.0,8.71,8.71,1964-02-01,1964,2,414,Units,5.173210004173209
50,Sweden,Europe,kg,SEK,1.0,10.0,10.0,1964-03-01,1964,3,414,Units,5.173210004173209
51,Sweden,Europe,kg,SEK,1.0,10.03,10.03,1964-04-01,1964,4,414,Units,5.173210004173209
52,Sweden,Europe,kg,SEK,1.0,10.03,10.03,1964-05-01,1964,5,414,Units,5.173210004173209
53,Sweden,Europe,kg,SEK,1.0,10.07,10.07,1964-06-01,1964,6,414,Units,5.173210004173209
54,Sweden,Europe,kg,SEK,1.0,10.07,10.07,1964-07-01,1964,7,414,Units,5.173210004173209
55,Sweden,Europe,kg,SEK,1.0,10.1,10.1,1964-08-01,1964,8,414,Units,5.173210004173209
56,Sweden,Europe,kg,SEK,1.0,10.07,10.07,1964-09-01,1964,9,414,Units,5.173210004173209
57,Sweden,Europe,kg,SEK,1.0,10.07,10.07,1964-10-01,1964,10,414,Units,5.173210004173209
58,Sweden,Europe,kg,SEK,1.0,10.07,10.07,1964-11-01,1964,11,414,Units,5.173210004173209
59,Sweden,Europe,kg,SEK,1.0,10.07,10.07,1964-12-01,1964,12,414,Units,5.173210004173209
60,Switzerland,Europe,kg,CHF,1.0,11.4,11.4,1964-01-01,1964,1,415,Units,4.37295000337295
61,Switzerland,Europe,kg,CHF,1.0,11.48,11.48,1964-02-01,1964,2,415,Units,4.37295000337295
62,Switzerland,Europe,kg,CHF,1.0,11.45,11.45,1964-03-01,1964,3,415,Units,4.37295000337295
63,Switzerland,Europe,kg,CHF,1.0,11.45,11.45,1964-04-01,1964,4,415,Units,4.37295000337295
